sentence,tags
Ich verabschiede mich auch schon mal so langsam .,PPER VVFIN PRF ADV ADV ADV ADV ADJD $.
Nur noch ein wenig nach Hause laufen,ADV ADV ART PIS APPR NN VVINF
Gartenzwerg mit Pflanzenkübel Kunststoff in Herne : Maße ca. 58 x 40 cm - Kübel ca. 15 x 20 cm an Selbstabholer - send ...,NN APPR NN NN APPR NE $. NN ADV CARD ADV CARD NN $( NN ADV CARD ADV CARD NN APPR NN $( XY $.
http://t.co/UbUeXwzW,NE
Man kommt echt nicht weg ~,PIS VVFIN ADJD PTKNEG PTKVZ XY
Firmen und Unternehmen aus Bergedorf,NN KON NN APPR NE
http://t.co/nSH2FHqD,NE
RT @anna_rosemary : Ein neuer Blogeintrag von mir .,NN NE $. ART ADJA NN APPR PPER $.
Über Street Harassment und Isolation .,APPR NN NN KON NN $.
"- Aufhören , allein zu sein","$( VVINF $, ADJD APPR VAINF"
http://t.co/5tZeUiUK,NE
Ägypten Abgeordnete lassen Parlamentsauflösung überprüfen - ZEIT ONLINE,NE NN VVFIN NN VVINF $( NE NE
http://t.co/vVOWIQpY,NE
Verwirrtes GPS .,ADJA NN $.
Oder doch der Läufer ?,KON ADV ART NN $.
http://t.co/Lup3r8M5,NE
"fürchtet euch nicht vor dem was ist , denn ihr wisst nicht was noch kommt !","VVFIN PPER PTKNEG APPR PDS PRELS VAFIN $, KON PPER VVFIN PTKNEG PWS ADV VVFIN $."
Gerade ein Foto hochgeladen,ADV ART NN VVPP
http://t.co/niPs6vh3,NE
"Okay , das wird heute nichts mit Johnny und Kitsch , vielleicht versuch ich stattdessen mal an meiner Wölfin weiter zu schreiben","ADJD $, PDS VAFIN ADV PIS APPR NE KON NN $, ADV VVFIN PPER ADV ADV APPR PPOSAT NN PTKVZ PTKZU VVINF"
@ExploFox @herr_nic,NE NE
Immer !,ADV $.
:'( ich geh in das Bett und komme nie wieder raus da .,EMO PPER VVIMP APPR ART NN KON VVFIN ADV ADV ADV ADV $.
Ich vermisse ihn so .,PPER VVFIN PPER ADV $.
@Folgeschaden,NE
"Danke , abgelehnt .","PTKANT $, VVPP $."
Ich kotze auch gerne bei Wilander und Co .,PPER VVFIN ADV ADV APPR NE KON NN $.
Shopping Tipp : RC-Crash Kit 6010-099 für den Firestorm Go,NN NN $. NE NE NE APPR ART NE FM
http://t.co/3NpZGCVC #rc-toys-24,NE HASH
@unparteiisch,NE
woher solln wir das wissen ?,PWAV VMFIN PPER PDS VVINF $.
@EkoFreezy,NE
dein video ist sehr geil album ist pflichtkauf,PPOSAT NN VAFIN ADV ADJD NN VAFIN NN
Teurer Reus : Klopp wird keine Neid-Debatte : Dortmund - Eine Neid-Diskussion in der Mannschaft von Borussia Dort ...,ADJA NE $. NE VAFIN PIAT NN $. NE $( ART NN APPR ART NN APPR NE XY $.
http://t.co/lC8Xcig1,NE
RT @Hotel_Bremenorg : hotel Bremen | empfehlen das Premium-Mitglied : Hotel Hanseatic Bremen,NN NE $. NN NE $( VVFIN ART NN $. NN NE NE
http://t.co/WTmsj2ir,NE
Was für ein Finale .,PWAT APPR ART NN $.
Und dann auch noch Vettel Weltmeister .,KON ADV ADV ADV NE NN $.
Wahnsinn .,NN $.
#f1sky,HASH
BVDW : Deutsche Unternehmen setzen immer stärker auf Social Media - Laser-Photonik.de | @scoopit,NE $. ADJA NN VVFIN ADV ADJD APPR NN NN $( NE $( NE
http://t.co/pyjhZ82K,NE
Aktuelle Stunde : CDU-Thema â Zupacken statt zaudern : Finanzierungsvorschlag des Bundes zu der A 281 annehmen ! â,ADJA NN $. NN $( VVINF APPR VVINF $. NN ART NN APPR ART NN CARD VVINF $. $(
#hbbue,HASH
RC-Ersatzteil S032-06 Rotorblätter Set 4 Stück für den S032 Hubschrauber von Syma,NN NE NN NN CARD NN APPR ART NE NN APPR NE
http://t.co/HnH05dRT,NE
RT @WESER_KURIER : Werder nach dem 1:3 in Augsburg : #Werder auf dem Boden der Tatsachen,NN NE $. NE APPR ART CARD APPR NE $. NE APPR ART NN ART NN
http://t.co/5R2Kz6jS,NE
@sighnomores,NE
gaaaaanz ruhig ! * tätschel *,ADJD ADJD $. $( VROOT $(
Ich krieg auch nervöses Augenzucken bei dem Lesen !,PPER VVFIN ADV ADJA NN APPR ART NN $.
Wegen Mord gesucht - McAfee will Asyl in Guatemala,APPR NN VVPP $( NE VMFIN NN APPR NE
http://t.co/k1e9wuNO,NE
Rotenburg-Wümme http://t.co/x6FptPhv,NE NE
@flashquote,NE
Nee nicht so viele .,PTKANT PTKNEG ADV PIS $.
Derzeit ca. 40-50 stetig steigend .,ADV ADV CARD ADJD ADJD $.
Aber nächstes Wochenende kommt schon die nächste Umfrage :(,KON ADJA NN VVFIN ADV ART ADJA NN EMO
Pfaffenhofen-Ilm http://t.co/zYJpsmn9,NE NE
@johoheka4G,NE
mein Handy spinnt seit tagen war bei einer auch so ich bin ihr auch entfolgt hab das nicht mitbekommen :â¬,PPOSAT NN VVFIN APPR NN VAFIN APPR PIS ADV ADV PPER VAFIN PPER ADV VVPP VAFIN PDS PTKNEG VVPP EMO
Netzbetreiber verschleudern Milliarden : Für die Energiewende muss Deutschlands Stromnetz ausgebaut werden .,NN VVFIN NN $. APPR ART NN VMFIN NE NN VVPP VAINF $.
Dabei ...,PAV $.
http://t.co/BgyUFVJd,NE
links von dem 06.11.2012,ADV APPR ART CARD
http://t.co/KsyjdVkB,NE
"Warum ich meine "" Ordnung "" so liebe : Ich finde überall Schokolade und freu mich dann darüber . :D",PWAV PPER PPOSAT $( NN $( ADV VVFIN $. PPER VVFIN ADV NN KON VVFIN PPER ADV PAV $. EMO
Neue monatliche Umfrage jetzt online auf unserer Homepage http://t.co/cvwiJTLA .,ADJA ADJA NN ADV ADV APPR PPOSAT NN NE $.
Machen Sie mit !,VVIMP PPER PTKVZ $.
http://t.co/KaeegBHA,NE
@waldschratpower,NE
war das zu doll ? ._. * verängstig anguck *,VAFIN PDS PTKA ADJD $. EMO $( ADJD VROOT $(
RT @bvbawesome : @IggyStepz DOOOOOOOOOORTMUUUUUUUUUND !,NN NE $. NE NE $.
@trixypinky,NE
so will ich auch :-) :-) :-),ADV VMFIN PPER ADV EMO EMO EMO
@MarcusBlumberg,NE
ich hab oft den Eindruck die kippt gleich vor dem Stuhl und schläft ein .,PPER VAFIN ADV ART NN PDS VVFIN ADV APPR ART NN KON VVFIN PTKVZ $.
Wirkt nicht wirklich interessiert .,VVFIN PTKNEG ADJD VVPP $.
RT @BVB : Abpfiff !,NN NE $. NN $.
Der BVB gewinnt 4:1 in Amsterdam und ist damit in dem Champions League-Achtelfinale !,ART NE VVFIN CARD APPR NE KON VAFIN PAV APPR ART NE NN $.
#afcabvb #bvb #cl #echteliebe,HASH HASH HASH HASH
Mach schooooon !!!,VVIMP ADV $.
#bestellung http://t.co/y4MvxZZQ,HASH NE
@kidek6,NE
Nur das schlimmste :P,ADV ART NN EMO
@DevilishFailure,NE
Klingt spaßig .,VVFIN ADJD $.
"Wenn ich den #Schweinsteiger so in Interviews reden höre , überlege ich den #Großkreutz für den Grimme Preis vorzuschlagen .","KOUS PPER ART NE ADV APPR NN VVINF VVFIN $, VVFIN PPER ART NN APPR ART NN NN VVIZU $."
Ich spamm euch jetzt einfach zu .,PPER VVFIN PPER ADV ADJD PTKVZ $.
Einfach .. weil ich kann .,ADV $( KOUS PPER VMFIN $.
RT Die Fernkampfwaffe der Jäger wird nun auf dem Rücken getragen .,NN ART NN ART NN VAFIN ADV APPR ART NN VVPP $.
http://t.co/wiSimSx6 #wow #warcraft,NE HASH HASH
DFB-Pokal : Bayern gegen BVB an dem Mittwoch,NN $. NE APPR NE APPR ART NN
http://t.co/jMS7tRIu #bvb,NE HASH
1:0 für dich :D,CARD APPR PPER EMO
RT @WisselDaniel : @Endzeitkind wir folgen dir und gucken deine Videos was hast du erwartet :P :D,NN NE $. NE PPER VVFIN PPER KON VVFIN PPOSAT NN PWS VAFIN PPER VVPP EMO EMO
"RT @Der_Ratze : Mein Kleiderschrank ist komplett voll , aber ich habe nicht zu dem Anziehen - Frauen .","NN NE $. PPOSAT NN VAFIN ADJD ADJD $, KON PPER VAFIN PTKNEG APPR ART NN $( NN $."
@hibbyaloha,NE
"Hab den auch , der ist Sooo toll <3","VAFIN PDS ADV $, PDS VAFIN ADV ADJD EMO"
@ruhrbarone,NE
Art. 51 der Genfer Konvention ist jedoch keine Selbstverteidigung !,NN CARD ART ADJA NN VAFIN ADV PIAT NN $.
#Solidarität mit allen Opfern des #Krieges !,NN APPR PIAT NN ART NN $.
#stopthekilling,HASH
"Und ich dachte schon , #Siri hätte mich nicht mehr lieb : http://t.co/XZjVkclx - Siri ist toll - aber nur , wenn die Verfügbarkeit bei 99 % liegt","KON PPER VVFIN ADV $, NE VAFIN PRF PTKNEG ADV ADJD $. NE $( NE VAFIN ADJD $( KON ADV $, KOUS ART NN APPR CARD NN VVFIN"
@denism86_,NE
TGN ist das halt :),NE VAFIN PDS ADV EMO
Zeig mir ein gutes deutsches Netzwerk mit Dashboard etc und was mich nimmt und ich wechsel ^^,VVIMP PPER ART ADJA ADJA NN APPR NN ADV KON PRELS PPER VVFIN KON PPER VVFIN EMO
Formel 1 in Hockenheim : Abflug mit Aussicht -- http://t.co/UkDJMMKo http://t.co/vIpdTjJP #BVB #Dortmund,NN CARD APPR NE $. NN APPR NN $( NE NE HASH HASH
Schon viel zu lang nicht mehr gehört . D:,ADV ADV PTKA ADJD PTKNEG ADV VVPP $. EMO
Transplantationsskandal : Kliniken umgehen offenbar Warteliste für Spenderorgane,NN $. NN VVFIN ADJD NN APPR NN
http://t.co/TVF46D4C,NE
"Der Song zu dem Sender ! RT @nrwision : "" Zeit für Deine Visiooooon "" ...",ART NN APPR ART NN $. NN NE $. $( NN APPR PPOSAT NN $( $.
http://t.co/uusTknfe #song #nrwision #musikvideo,NE HASH HASH HASH
Verdammte Gier .,ADJA NN $.
Hab mir Calippo Cola Sirup über die ganze Brust gekippt .,VAFIN PRF NE NE NN APPR ART ADJA NN VVPP $.
"Naja , war erfrischend xD","ITJ $, VAFIN ADJD EMO"
@Tagave @laurareinkens,NE NE
"Ich tue mich da auch schwer , mir einen sinnvollen Wechsel nach England vorzustellen .","PPER VVFIN PRF ADV ADV ADJD $, PRF ART ADJA NN APPR NE VVIZU $."
Juve wäre eine Option .,NE VAFIN ART NN $.
Heute ist Totensonntag ?,ADV VAFIN NN $.
Und was ist daran so anders ?,KON PWS VAFIN PAV ADV ADV $.
Hm .,ITJ $.
Ich riech jetzt nach Knoblauch .,PPER VVFIN ADV APPR NN $.
"Wird also darauf hinauslaufen , dass ich es instant beende .","VAFIN ADV PAV VVINF $, KOUS PPER PPER ADJD VVFIN $."
RT @MarioGoetze : Glückwunsch an Marina L .,NN NE $. NN APPR NE NE $.
Sie hat das Trikot aus der Sonderverlosung meines Adventskalenders gewonnen !,PPER VAFIN ART NN APPR ART NN PPOSAT NN VVPP $.
Ein Bild ... http : ...,ART NN $( NE $. $.
"Heute Besuch bei der Queen - Vorsicht vor diesen Fettnäpfchen , Herr Gauck !","ADV NN APPR ART NN $( NN APPR PDAT NN $, NN NE $."
http://t.co/CeYc1c4E,NE
RT @bvb_news : PROFIS | BVB mit Schmelzer gegen Real,NN NE $. NN $( NE APPR NN APPR NE
http://t.co/532FLEdl #BVB #DORTMUND #NEWS,NE HASH HASH HASH
"RT @Flauschbaer : "" Polizeikontrolle , bitte blasen ! ""","NN NE $. $( NN $, ADV VVIMP $. $("
"- "" Bei ihnen nicht , aber ihr Kollege darf die Hose gerne runter lassen . ""","$( $( APPR PPER PTKNEG $, KON PPOSAT NN VMFIN ART NN ADV PTKVZ VVINF $. $("
"Doch , gab ( gibt ? ) es â¦","PTKANT $, VVFIN $( VVFIN $. $( PPER $."
"RT @Wissenssucher : Gab es bei Twitter nicht mal eine Künstlerin , die einige ihrer Follower gemalt hat ?","NN NE $. VVFIN PPER APPR NE PTKNEG ADV ART NN $, PRELS PIS PPOSAT NN VVPP VAFIN $."
#followerpower,HASH
Die Zweite gewinnt 9:6 in Falkenau !,ART NN VVFIN CARD APPR NE $.
Interkulturelle Tage Straßenfest http://t.co/MUGRBepR,ADJA NN NN NE
Meistern Sie Ihren Tag mit #Outlook ! - jetzt 1:1 umsetzbare #Video-#Tutorials abonnieren,VVIMP PPER PPOSAT NN APPR NE $. $( ADV CARD ADJA NN VVINF
http://t.co/trOnYrLr,NE
@Redhead_DD,NE
Hab den Tab mit dem Pad schon geschlossen :-/,VAFIN ART NN APPR ART NN ADV VVPP EMO
"Lass uns das ab Donnerstag besprechen , würd ich vorschlagen , ok ?","VVIMP PPER PDS APPR NN VVINF $, VAFIN PPER VVINF $, PTKANT $."
@AtelierRSchwarz,NE
@cPradi,NE
"ich schrieb "" fast "" ...",PPER VVFIN $( ADV $( $.
"Heißt nicht , das ich es tatsächlich trinken würde ;-)","VVFIN PTKNEG $, KOUS PPER PPER ADJD VVINF VAFIN EMO"
#Kaffee war mir dann doch lieber,NN VAFIN PPER ADV ADV ADJD
@fasnix #mate,NE HASH
@linzwitschert,NE
"naja ich hatte mich mal bei thalia beworben und da meine die personalcheffin , dass zusammenfassungen gelesen werden","ITJ PPER VAFIN PRF ADV APPR NE VVPP KON ADV VVFIN ART NN $, KOUS NN VVPP VAINF"
"wenn ich dir das sage , ja du würdest staunen ! :D","KOUS PPER PPER PDS VVFIN $, ITJ PPER VAFIN VVINF $. EMO"
"Mist , #Derevo Tanztheater in dem Festspielhaus ausverkauft :(","NN $, NE NN APPR ART NN VVPP EMO"
Spontanbesuch fehlgeschlagen .,NN VVPP $.
Arbeiten von Annedore Dietze sind in der Städtischen Galerie Dresden und in â¦ : Arbeiten von Annedore Di ...,NN APPR NE NE VAFIN APPR ART ADJA NN NE KON APPR $. $. NN APPR NE XY $.
http://t.co/DY5nxnAN #Dresden,NE HASH
"Mein Gefrierfach war auch den halben Tag offen und mein Fuß ist nass , weil ich in die Wasserpfütze trat .","PPOSAT NN VAFIN ADV ART ADJA NN ADJD KON PPOSAT NN VAFIN ADJD $, KOUS PPER APPR ART NN VVFIN $."
Ein Hauch von Abendröte legt sich auf das Gesicht meines Gegenübers und ich bin verliebt - bis es dunkelt .,ART NN APPR NN VVFIN PRF APPR ART NN PPOSAT NN KON PPER VAFIN ADJD $( APPR PPER VVFIN $.
Verbraucherschutz : Die zehn größten Irrtümer in dem Mietrecht,NN $. ART CARD ADJA NN APPR ART NN
http://t.co/esN1blF3,NE
@Housetier84 @Nils_van_Bruuk,NE NE
Viel Spaß in dem Urlaub !,PIAT NN APPR ART NN $.
Bin in dem Wald der Eifel ... auch dunkel - aber viel uncooler als schwedische Wälder !,VAFIN APPR ART NN ART NE $( ADV ADJD $( ADV PIAT ADJD KOKOM ADJA NN $.
@BaluDeBaer,NE
ich will nicht immer nachgeben >:(,PPER VMFIN PTKNEG ADV VVINF EMO
"Studie zeigt , wie Unternehmen Social Media richtig nutzen können : http://t.co/tJx2L29d - #SocialMedia #Strategie | RT @Nerdy_Nick","NN VVFIN $, KOKOM NN NN NN ADJD VVINF VMFIN $. NE $( NN NN $( NN NE"
@Cyberschlange,NE
ach ist der zu dem Knutschen,ITJ VAFIN PDS APPR ART NN
Pünktlich zu dem Dezemberstart und dem anstehenden 1. Advent haben wir unsere Weihnachtsschnäppchenangebote ...,ADJD APPR ART NN KON ART ADJA ADJA NN VAFIN PPER PPOSAT NN $.
http://t.co/j312vilp,NE
"Den Dynamos ist "" Tradition halt so wichtig , dass sie sich als DDR Retortenbaby dem Fußball-Urgestein geschlagen geben .","ART NN VAFIN $( NN ADV ADV ADJD $, KOUS PPER PRF APPR NE NN ART NN VVPP VVFIN $."
@SebJabbusch,NE
"#saxnbus kommt erst gegen Mitternacht , glaub heut wird es deshalb nix mehr","NN VVFIN ADV APPR NN $, VVFIN ADV VAFIN PPER PAV PIS ADV"
@Kathy_HN @thctutnichtweh,NE NE
Mag einer Ansprechpartner für #Saxnbus Abfahrt in Leipzig sein ?,VMFIN PIS NN APPR NE NN APPR NE VAINF $.
"Liste abhaken , Tel. erreichbar .","NN VVINF $, NN ADJD $."
http://t.co/HQ9vDwCV,NE
RT @dd_stadtfest : Ab heute sind unsere gedruckten Stadtfestprogrammhefte in folgenden Auslagestellen erhältlich : Bürgerberatung in dem ... ht ...,NN NE $. APPR ADV VAFIN PPOSAT ADJA NN APPR ADJA NN ADJD $. NN APPR ART $( XY $.
@HerrDekay,NE
Wie wär es mit nem Super Turbo Turkey Puncher-Marathon ? :D,PWAV VAFIN PPER APPR ART NE NE NE NN $. EMO
griever ... du machst grad drecksche Liebe mit meinen Ohren <3,NE $( PPER VVFIN ADV ADJA NN APPR PPOSAT NN EMO
Diesen video brauch mehr Klicks !! : WIR KLÄREN AUF !,PDAT NN VVFIN PIAT NN $. $. PPER VVFIN PTKVZ $.
"#10 - "" BITCH FIGHT ! "" ( Fragen & Antworten )",CARD $( $( NN NN $. $( $( NN KON NN $(
http://t.co/B3pB5dcp via @youtube,NE APPR NE
@E5TO,NE
spontaneous Meeting an dem Samstag in Chemnitz ?,ADJA NN APPR ART NN APPR NE $.
Heute ist das ZDF dran ...,ADV VAFIN ART NE PTKVZ $.
"Maybrit Illner hat große Gäste , Gauck und Schmidt ... Thema : Eurokrise !!!","NE NE VAFIN ADJA NN $, NE KON NE $( NN $. NN $."
Was sonst ? ;-),PWS ADV $. EMO
http://t.co/8X71Vbzx,NE
@manniac,NE
ohne wäre ja langweilig ;),APPR VAFIN ADV ADJD EMO
Innovative Heizungstechnik - Kaminöfen mit bestem Preis-/Leistungsverhältnis,ADJA NN $( NN APPR ADJA NN
http://t.co/Boqw8gyr,NE
Frische Farben für den Boden - Sommerliche Trendteppiche,ADJA NN APPR ART NN $( ADJA NN
http://t.co/zxNRjiNy,NE
"Welcher Algorithmus hat Facebook dazu bewogen , mir neuerdings Werbung für Haartransplantationen einzublenden ?","PWAT NN VAFIN NE PAV VVPP $, PPER ADV NN APPR NN VVIZU $."
Kaminofen mit unverwechselbarem Charakter - Einzigartige Kaminöfen verbinden Design und ...,NN APPR ADJA NN $( ADJA NN VVFIN NN KON $(
http://t.co/GvETygE2,NE
@smaash3d,NE
JA *_* ich glaube ich schwebe in dem caramel-himmel ?,PTKANT EMO PPER VVFIN PPER VVFIN APPR ART NN $.
"Bundesliga-Check , Teil 10 - Fortuna kann die Klasse halten : Aufsteiger Fortuna Düsseldorf hat seinen Kader runde ...","NN $, NN CARD $( NE VMFIN ART NN VVFIN $. NN NE NE VAFIN PPOSAT NN ADJA $."
http://t.co/Yg2jHk8v,NE
RT @hb_politik : Nobelpreisträger Stiglitz : Der Euro spaltet die Europäer,NN NE $. NN NE $. ART NN VVFIN ART NN
http://t.co/jXuv0zZw,NE
Vielleicht doch noch #Weltuntergang,ADV ADV ADV NN
Aktuelles Bild der Sonne : http://t.co/qBj5Px3O via @TwitPic,ADJA NN ART NN $. NE APPR NE
@TheVaan @vsxed,NE NE
So ist das Nexus 4 unbenutzbar .,ADV VAFIN ART NE CARD ADJD $.
"Streetstyle : echte Klasse : Dazu braucht man nicht viel sagen , außer dass Damen , die sich eine Kelly in lila Krok ...","NN $. ADJA NN $. PAV VVFIN PIS PTKNEG PIS VVINF $, APPR KOUS NN $, PRELS PRF ART NE APPR ADJA XY $."
http://t.co/HS3bOcLa,NE
Es geht um die Respektierung des Branchentarifvertrages und ebenso um die Verhinderung der Erosion des Flächenta ...,PPER VVFIN APPR ART NN ART NN KON ADV APPR ART NN ART NN ART XY $.
http://t.co/M30tjlt1,NE
Nachhaltiger Spielspaß : Anbeißen erlaubt ! - Kinderspielzeug aus Biokunststoff ?,ADJA NN $. NN VVPP $. $( NN APPR NN $.
schmec ...,XY $.
http://t.co/seDa2MLk,NE
@SusiSorglos15,NE
"Das #Ascot der Moment ist , in dem die Diskussion in das Lächerliche geht :)","ART NE ART NN VAFIN $, APPR PRELS ART NN APPR ART NN VVFIN EMO"
@BirgitKipping @pisepampell,NE NE
Schlimmer Taxifahrer,ADJA NN
http://t.co/zv3to8hp,NE
@Ostwestf4le,NE
"aber mal ehrlich , wenn es um den BVB geht hab ich schon Aufregertweets von dir gelesen :-)","KON ADV ADJD $, KOUS PPER APPR ART NE VVFIN VAFIN PPER ADV NN APPR PPER VVPP EMO"
@dreamyidiot,NE
wenn sie anfassbar were wuerde sie nicht brennen,KOUS PPER ADJD VAFIN VAFIN PPER PTKNEG VVINF
@DB_Bahn @tarzun,NE NE
"ha , der tarzun sitzt in dem Zug nach nirgendwo ^^","ITJ $, ART NE VVFIN APPR ART NN APPR NN EMO"
@smatthes,NE
So gut ??,ADV ADJD $.
@KrAzYNo1,NE
6780 Punkte .,CARD NN $.
Ich warte auf die guten Titel .,PPER VVFIN APPR ART ADJA NN $.
RT @rponline : Die #CSU protestiert gegen KZ-Puzzles bei Amazon,NN NE $. ART NE VVFIN APPR NN APPR NE
http://t.co/OJxphrGF,NE
"Ja , ich bin an einem Artikel zu YouTube dran .","PTKANT $, PPER VAFIN APPR ART NN APPR NE PTKVZ $."
Dauert noch .,VVFIN ADV $.
der Fernseher wird heute nicht mehr angemacht .,ART NN VAFIN ADV PTKNEG ADV VVPP $.
"habe das Buch bekommen , was ich wollte . :o)","VAFIN ART NN VVPP $, PRELS PPER VMFIN $. EMO"
#weihnachten2012,HASH
#Gutschein #Troika #Accessoires #Business #Design #Geschenke Troika.de : 5 Euro Troika Gutschein,HASH HASH HASH HASH HASH HASH NE $. CARD NN NN NN
http://t.co/wmUDSJ1P #Rabatt,NE HASH
"habe mir beinahe in das hemd gemacht als es auf einmal laut knallte , der busfahrer aufhörte zu lachen und das ...","VAFIN PRF ADV APPR ART NN VVPP KOUS PPER APPR ADV ADJD VVFIN $, ART NN VVFIN PTKZU VVINF KON ART $."
http://t.co/ZK45gjmi,NE
Befreites Aufatmen in dem Hausinneren - Allergikerfreundlicher Putz mit TÜV-Zertifikat,ADJA NN APPR ART NN $( ADJA NN APPR NN
http://t.co/kPkTpLGB,NE
RT @ufomedia : Klasse Aktion ...,NN NE $. ADJA NN $.
RT @JohannesLenz Wasser .,NN NE NN $.
Es braucht Wasser !,PPER VVFIN NN $.
"Sauberes , klares und trinkbares Wasser !","ADJA $, ADJA KON ADJA NN $."
http://t.co/HEfaa1IJ,NE
RT @hb_politik : Studie : Gehälter in Deutschland driften auseinander,NN NE $. NN $. NN APPR NE VVFIN PTKVZ
http://t.co/emoLKxQh,NE
"Wäre so gerne dabei gewesen als @michelleyxufiom einfach '' Girl on fire '' gesungen hat , als ein Mädel brennende Haare hatte .","VAFIN ADV ADV PAV VAPP KOUS NE ADJD $( NN FM NN $( VVPP VAFIN $, KOUS ART NN ADJA NN VAFIN $."
@Robert_Marku,NE
ähm nein :D,ITJ PTKANT EMO
Probier âs mal mit Gemütlichkeit - Ethanol-Kamine sorgen für Feuer und Flamme,VVIMP PPER ADV APPR NN $( NN VVFIN APPR NN KON NN
http://t.co/dFhizr2z,NE
Sängerin extrem dünn bei Aria-Awards - Muss man sich Sorgen machen um Taylor Swift ?,NN ADJD ADJD APPR NN $( VMFIN PIS PRF NN VVFIN APPR NE NE $.
http://t.co/QG4GTocf,NE
Champions League und Wolf Fuß kommentiert <3,NE NE KON NE NE VVFIN EMO
Danke Sky !,PTKANT NE $.
Von @DATEV : Steuerabkommen mit der Schweiz gebilligt,APPR NE $. NN APPR ART NE VVPP
http://t.co/YHpJ8Zbb,NE
Weniger Heizkosten dank moderner Dachtechnik - Förderungen bei Energiesparmaßnahmen,PIAT NN APPR ADJA NN $( NN APPR NN
http://t.co/PsfEPTrW,NE
Ohne Kinderarbeit hergestellt - Hochflorteppich in Handarbeit von Care & Fair,APPR NN VVPP $( NN APPR NN APPR NE KON NE
http://t.co/ofVo5dqm,NE
Fohlen News 14-Mio-Mann de Jong Ich will Tore schießen Gladbachs neuer Stürmer-Star ist endlich da will ab sofort für die Borussia ballern,NN NN NN NE NE PPER VMFIN NN VVFIN NE ADJA NN VAFIN ADV ADV VMFIN APPR ADV APPR ART NE VVFIN
@Vero_Braff,NE
du kannst super zeichen =>,PPER VMFIN ADJD VVINF XY
ich find es super :),PPER VVFIN PPER ADJD EMO
6 Stunden Physik .,CARD NN NN $.
Go,FM
RP : MSV Duisburg - MSV verpflichtet Jovanovic,NE $. NE NE $( NE VVFIN NE
http://t.co/jfoqSnhl,NE
@manniac,NE
Weshalb möchte man denn nun noch wach bleiben ? :P,PWAV VMFIN PIS ADV ADV ADV ADJD VVINF $. EMO
FAZ Umwelt // Biathlon : Greis schmeißt die Flinte in den Schnee,NE NN $( NN $. NN VVFIN ART NN APPR ART NN
http://t.co/IFjjKyKP,NE
Altes Holz in neuem Glanz - Parkettboden farblich auffrischen,ADJA NN APPR ADJA NN $( NN ADJD VVINF
http://t.co/QoVyKvOQ,NE
Alte Robbie Williams Songs hören und sich total auf das neue Album freuen .,ADJA NE NE NN VVINF KON PRF ADJD APPR ART ADJA NN VVINF $.
@EinAugenschmaus,NE
wieviel % hast den du ?,PWAV NN VAFIN ADV PPER $.
RT @tech_german : #TGNEWS Hike .,NN NE $. HASH NE $.
Ein alternativer Messenger : Wie es einige von euch sicherlich schon via Twitter oder Facebook mitb ...,ART ADJA NN $. PWAV PPER PIS APPR PPER ADV ADV APPR NE KON NE XY $.
htt ...,XY $.
Die heutige Mittagspause @ http://t.co/JmTKwUNG wurde mit einem #Musik Quiz aufgeheitert !,ART ADJA NN APPR NE VAFIN APPR ART NN NN VVPP $.
http://t.co/SmSjLzTQ,NE
@Hawkmouthy,NE
fragenkataloge ... es kommen 6 fragen dran ...,NN $( PPER VVFIN CARD NN PTKVZ $.
Rustikales Laminat - Bodenbelag für südländisches Ambiente,ADJA NN $( NN APPR ADJA NN
http://t.co/fLr8duD0,NE
Auslagerung von Datens in das Netz - Apple-Co-Gründer sieht die Datenwolke sehr kritisch,NN APPR NN APPR ART NN $( NN VVFIN ART NN ADV ADJD
http://t.co/cLtaBgGP,NE
@laurraxoxo,NE
rot ist langweilig und passt nicht zu allem :/,NN VAFIN ADJD KON VVFIN PTKNEG APPR PIS EMO
... in beiden Richtungen nur eine Spur frei .,$( APPR PIAT NN ADV ART NN ADJD $.
? #A7 #Hamburg - #Hannover zwischen #Heimfeld und Dreieck #Hamburg-Südwest behindern #Bauarbeiten den Verkehr .,XY NN NE $( NE APPR NE KON NN NE VVFIN NN ART NN $.
? #A23 #Heide - #Hamburg die Anschlussstelle #Itzehoe-Süd ist in beiden Richtungen bis Montag gesperrt . Eine Umleitung ist ...,XY NN NE $( NE ART NN NE VAFIN APPR PIAT NN APPR NN VVPP $. ART NN VAFIN $.
"? Hamburg : B75 , Heidenkampsweg zwischen Süderstraße und Billstraße ist die Fahrbahn wegen einer Baustelle auf zwei Fahrstreifen verengt .","XY NE $. NE $, NN APPR NN KON NN VAFIN ART NN APPR ART NN APPR CARD NN VVPP $."
... Spaldingstraße in Höhe Deichtorplatz und Oberbaumbrücke zwischen Brooktorkai und Deichtorplatz . Der Wallringtunnel ist ...,$( NN APPR NN NN KON NN APPR NN KON NN $. ART NN VAFIN $.
"? #Hamburg : #B4 , Stresemannstraße bis Budapester Straße zwischen Neuer Pferdemarkt und Simon-von-Utrecht-Straße ist wegen ...","XY NE $. NN $, NN APPR ADJA NN APPR ADJA NN KON NN VAFIN APPR $."
... #Bauarbeiten bis 11. November 2012 nur eine Spur frei .,$( NN APPR ADJA NN CARD ADV ART NN ADJD $.
? #A1 #Hamburg - #Lübeck zwischen #Billstedt und Öjendorf behindert eine #Baustelle den Verkehr in beiden Richtungen .,XY NN NE $( NE APPR NE KON NE VVFIN ART NN ART NN APPR PIAT NN $.
